index,label,text,score
0,1,癒された❤サイコーに面白いコメ欄,0.9853
1,1,久しぶりにきたら再生数えぐいことなってて草,0.8679
2,1,風強かっただけで作れるの凄い,0.9811
3,1,この子ちょくちょくかわいいの草,0.9836
5,1,可愛い❤けど爆笑😂,0.9682
6,1,情報過多な現代社会では、こういうくだらない歌詞の曲がちょうどええ。,0.4952
7,1,天才,0.8312
8,1,これほど聞いている人をワクワクさせることができるとは･･･もはや神曲では片付けれない,0.6515
9,1,ランドセル背負った女児がネット民に上手く刺さったんかね中身よりサムネが大事なのを証明してる,0.906
10,1,オールバックもリコーダーも鳩もキャベツも全部すごい発想してるな…,0.7779
11,1,1:22かわいい,0.963
12,0,なんかテンポ遅い...遅くない？(🌴のせい),0.9643
13,1,この曲はすごく大好きです、最高です、初めに聞いたら笑ってしまったけど大好きな歌です,0.9947
14,1,cmで流れたのでコメしにきました,0.8485
15,1,強風オールバック神曲過ぎ,0.9671
17,1,カスタネットとトライアングル担当の鳥頑張っててえらい。ハト大乱闘してる場合じゃなくて好き。,0.9917
18,1,動物がみんなかわいい。ゆるい肩の力がなくなる,0.8393
19,1,すごいです。寝起きヤシの木もそうだけどちゃんとこの主だけの特徴がはっきりしていて、主だけの曲というのがわかりやすくて見てて飽きないです。チャンネル登録します！！,0.9908
20,1,ホント尊敬できるわ。色々なところで主の特徴があってリコーダーの音外しやキャベツの切るときの断面とかも元ネタがあるというボカロの概念を覆すような素晴らしい作り込みがあります。この人？「すごすぎて人間に見えない」は将来的にも期待が高まります。頑張って！！,0.9844
21,1,急に生えてきて合いの手入れるのすこ,0.9551
22,0,何度も見ちゃう。メロディーが頭から離れない😆いったい何なのこれ？？🤣,0.6104
23,1,謎の中毒性,0.8729
24,1,好き,0.9401
25,1,絵が可愛すぎる😍︎💕︎,0.9901
27,1,曲も歌詞も歌も絵も全てが天才的。,0.8923
28,0,一瞬の出来事で気づかなかったよ一番最初にフブちゃんがすっ飛んでった😂,0.7408
29,1,ヤシの木とこの曲を交互に聞くのに最近凄くハマってる,0.9696
31,1,1:24〜1:25の(><)みたいな顔になってるユキちゃんめっちゃ可愛い,0.9911
32,1,ボカロ史上2本目の1億越えあるかも！！,0.8854
33,1,マジですごい,0.9118
34,1,カップヌードルのCMで使われてた！！,0.6802
37,1,カラオケで毎回お世話になってます。,0.6862
38,1,シーフード買ったげた。,0.8991
40,1,0:56のあーが狂うほど好き,0.9566
41,0,『風強すぎてお亡くなり』ってなに言ってるのかさっぱりわからん。死んだの？,0.9802
42,1,意外と飽きない粘り強い曲,0.8605
43,1,こんなに一回だけ聞いたけで頭から離れない曲はじめてだ,0.5181
44,1,来るだろうなーって時に来るの好き,0.9846
45,1,リコーダーの音の外し方中毒性がすごい,0.9491
46,1,タイフが近付いてきて風が強くなってきた今日にピッタリの曲ですね😊,0.7684
47,1,おもしろい🤣🕊️✨嬉しい❤,0.9912
49,1,耳に残るんよなぁ。歌詞がどうであれ、このリズム作れることが才能やと思うわ,0.9122
