level_0,index,label,text,score
4292,4798,0,アンダーテール負けてるのが悔しい,0.9949
703,850,1,フル的なヤーツが欲しい。,0.8823
7874,8610,1,かわいい,0.9801
3861,4360,1,神曲って思いました,0.9732
3429,3904,1,定期定期的にオールバックッ,0.9048
1080,1316,1,これ歌愛ユキなんだよなあ！すげええ！,0.9784
1463,1705,1,まじで毎日聞きに来たくなるw,0.9238
3007,3317,1,定っ期定っ期定期に、オッズパーク♪,0.9131
1400,1641,1,姉に勧められて来ました作画崩壊キャベツで笑ったwww2023/06/07,0.8702
1275,1512,1,中(に)出(され)た瞬間♪(人生)終わったわ🎵,0.7602
652,781,0,何回でも聴いてしまう☺,0.6408
5456,6010,1,わんちゃんかわいい,0.992
7807,8542,1,定期的にオールバックリピートしてるけど曲強過ぎて終わったわ好き,0.8338
1997,2279,0,最近風強いと思う人は↓↓↓,0.5391
2355,2641,0,2ヶ月前からある曲なのになぜ今になって急に流行りだしたんだろうか...,0.7195
412,514,0,雨降りに突風でおろし立ての傘が即死。直後に豪雨に見舞われ哀れズブ濡れになる(泣)#強風あるある,0.971
4759,5285,0,追い風の強風ってツチノコの次に見ないよな,0.5073
2278,2562,1,アニメーションの人苗字一緒でビビった,0.6911
5758,6340,0,中毒なるて,0.9539
1525,1767,0,みんなの歌にギリギリ無さそうな曲,0.7406
3898,4398,0,今日の関東終わったわ,0.5515
3770,4261,1,何このキ○ミー風なベイベーな歌めッッちゃ好きなんですけど,0.9692
1873,2122,1,すばらしい！！,0.9882
4804,5334,1,4週間前に投稿したのにめっちゃのびとる,0.9511
5389,5941,1,2週間の間で再生数が指数関数みたいに増えてくの凄すぎる,0.8957
7680,8414,0,Spotifyになくて泣きそうになった,0.8367
3169,3490,1,結構人気出てきたからそろそろ太鼓の達人に入りそう,0.9801
3726,4213,1,めちゃくちゃ流行りすぎてて草(シンプルに嬉しい),0.973
6445,7067,1,アニメーションが良すぎる,0.9868
3471,3949,1,弄れた小学生が女の子がボソッと歌ってる感じで好き,0.9816
7395,8128,1,令和に夜明け前より瑠璃色なパロを見れるとは....感涙です,0.909
7830,8565,1,何だこの可愛い曲wwwwww,0.975
5384,5936,1,曲中に出てくる生き物のセンスサイコー！,0.9096
3021,3332,0,無理矢理こじつけようとしたけど無理,0.9873
1617,1860,0,チェンバーしか出て来んわ,0.5968
7515,8249,1,かわいい,0.9801
7499,8233,1,1:57虚無うーぱー持ってる。可愛いのでオススメです。,0.9035
2339,2625,1,キャベツのデザインが例の奴なの好き,0.9825
2446,2734,1,いいね👍⇈,0.9539
4215,4719,0,なんかこういう系の歌の絵ってなんかよくわからん生物いるよね(？),0.7839
1733,1978,1,私はそれを愛する,0.973
4722,5248,1,今年の春から通い始めた大学までの道がマジで風強すぎて…。髪ぐちゃぐちゃになるし、寒いし、最悪！この歌は最高！,0.9687
7739,8473,1,めっちゃ好き。何回も聞いてる。なんなら学校やら家やらで口ずさんでる。カラオケにないかなあ。この曲作った人まじゴット。,0.8921
3962,4463,1,最後の方の左下に出てくるカスタネット・カラスと右下にいるトライアングル・トリが可愛過ぎて進めない。。,0.9759
4473,4996,1,かわいすぎだろ主さん,0.963
7068,7799,1,なんか見たことあるぞそのキャベツ😂,0.5575
856,1073,0,1:11なんか既視感あると思ったら作画崩壊キャベツか,0.9735
2411,2698,0,学生にありがちだね,0.7441
1057,1282,0,これを聞きながらいったけど音を大きくしすぎて周りの人に見られてたのをこの動画終わり頃にｷｽﾞｲﾀ,0.7726
623,745,1,CMになってて嬉しい｡☺️,0.992
7553,8287,1,手拍子好き,0.9835
4730,5256,0,バズれ,0.6538
5650,6228,1,ハマった,0.9576
4907,5437,1,ラグトレインっぽい所が一番好きです,0.9612
3154,3475,1,前髪オールバックしながら歩いてる絵がかわいくてずっと見てられる,0.9703
259,351,0,外出た瞬間終わったわ天気が良すぎて進めない気温高すぎてお亡くなり天気天気的にhomeback,0.6082
332,425,0,お亡くなりの意味誰か教えて😭意味伝わらず眠れない,0.9899
552,665,1,なんて美しいんだろう:D,0.9238
243,335,1,脳内リフレインするくらい狂おしい程好き,0.9808
7155,7886,1,ボカロでトップクラスの共感性,0.8979
3395,3812,1,1:19鳥が可愛いすぎるんだけど何これ,0.9244
4630,5156,0,みんなのうたで流してくれよーう,0.8659
4169,4673,0,強風で定期的に苦労かけてセットした髪型がお亡くなりになって風さえ無くなればどれだけダサくて笑われた心があったかくなるのかと後悔してるんだよね😂,0.9715
1909,2167,1,祝2000万！！！！🎉🎉🎉🎉🤪,0.972
2723,3029,0,強風向かい風時の溢れ出る炭治郎感,0.9864
2875,3184,1,リズム感すこw,0.9713
5259,5808,1,この曲聞くと平和な気持ちになれる,0.9653
6542,7252,1,久々に定期的に聞きに来たくなるボカロ,0.7169
3012,3322,1,何気に作画崩壊キャベツ好きすぎる,0.9715
2650,2954,0,중독된다아~,0.5188
6091,6678,1,すげぇ心地良いリズム,0.964
3935,4436,1,めっちゃ癖になるこの曲風強くて「強風」で検索したら出逢えたありがとう,0.9832
852,1069,1,のや❤に！🎉、おゆた,0.9354
1807,2052,0,ショートでやたら聞くからフル聴きに来ちゃった私の負けだなって思いました,0.9676
6764,7487,0,曲が強すぎて自動再生がお亡くなりになった。次があるのに進めない…(少額だけどどうぞ),0.9918
