videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt
D6DVTLvOupE,絵がゆるすぎて好き,絵がゆるすぎて好き,唐揚げオススメピエロ,https://yt3.ggpht.com/CJg3ROE7-wcLdLrwe7KvOMMbvacErnMhrnoU7DPP0FCvDdNCBb9XFNzmnVDeXdOwdDS41usOYw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCKc0ujd_EfkeBrIJtAViDOw,UCKc0ujd_EfkeBrIJtAViDOw,TRUE,none,2,2023-07-06T08:30:28Z,2023-07-06T08:30:28Z
D6DVTLvOupE,大乱闘する鳩好きすぎるw,大乱闘する鳩好きすぎるw,にわ,https://yt3.ggpht.com/xkBfe1fjoTLHZR1NfiobgFAh4OzSb3sAN-P66sRLY65Owoj_QSfGVSuxeZ3hV00GimQoAr7a=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCSnDnQu343niv0RskAugeAA,UCSnDnQu343niv0RskAugeAA,TRUE,none,3,2023-07-06T07:41:05Z,2023-07-06T07:41:05Z
D6DVTLvOupE,前奏から入ることなく急に歌いだすの好き。,前奏から入ることなく急に歌いだすの好き。,SMToon Entertainment,https://yt3.ggpht.com/q4lmJhcZl80aXLTKufRpZnPZEGDS1OR0kkPT6kxWBJpU-9GMe6hGzChod055QsPTgOaba53Z5w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCiV6sJy_KS_XtidTeIyClig,UCiV6sJy_KS_XtidTeIyClig,TRUE,none,177,2023-07-06T07:20:04Z,2023-07-06T07:20:04Z
D6DVTLvOupE,続けて外出た瞬間終わったわ,続けて外出た瞬間終わったわ,アントニオ　いちろう,https://yt3.ggpht.com/CplfOiWkOYAZpYcCNLJRywM241yyqSdoTmUcTmeVuEVwncWOPk8zPHX4FI7mcJ363aaEV57Hmg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCkn1BctJx1WCunPflnu-mMg,UCkn1BctJx1WCunPflnu-mMg,TRUE,none,1,2023-07-06T04:10:58Z,2023-07-06T04:10:58Z
D6DVTLvOupE,オールバックやめられないほど歌ってしまう,オールバックやめられないほど歌ってしまう,おとは,https://yt3.ggpht.com/pvz8td-NVFCifSr0QiAgXNmkuyYvgMz7lNA5A5lcuoD13lgeGMhITQ35LIRGH7brskQaGPqD=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCg7bkJLpZMqmvOuMeYyMzOQ,UCg7bkJLpZMqmvOuMeYyMzOQ,TRUE,none,1,2023-07-06T03:24:20Z,2023-07-06T03:24:20Z
D6DVTLvOupE,地面から生えたイワシが風ですっ飛んだり、トライアングルを突くマグロがいそうだな…,地面から生えたイワシが風ですっ飛んだり、トライアングルを突くマグロがいそうだな…,名無しの廃人,https://yt3.ggpht.com/Caw0XXVuoLdukXVcKR4GBb2lmBYoJ8pb2tCpK-dXgE-eDHiEnCVgK3sYWxhohVR1OtphJUh3=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCVoP7GHkgnO8Q5FEEpPlWQQ,UCVoP7GHkgnO8Q5FEEpPlWQQ,TRUE,none,0,2023-07-06T01:36:40Z,2023-07-06T01:36:40Z
D6DVTLvOupE,歌詞をなんとか歌詞を意味深にしようと頑張っている考察班が所々でてきてておもろい笑,歌詞をなんとか歌詞を意味深にしようと頑張っている考察班が所々でてきてておもろい笑,カ,https://yt3.ggpht.com/ezLEAiZrT_asYEDbKw_YXVRFHz6C7yYz4KkMz-raHlK2lyu_rdY9QnD2crsBPDGov2yly7E2Bg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCAOqt28j161KwcmrR5Fx7rA,UCAOqt28j161KwcmrR5Fx7rA,TRUE,none,1,2023-07-05T23:41:13Z,2023-07-05T23:41:13Z
D6DVTLvOupE,謎に中毒になるw,謎に中毒になるw,玲,https://yt3.ggpht.com/ujjcNKemT5A8MLQvuWwTV3LNhnx2rK1S9Qb7c7fH81r34BSW66o-WWkmZPgRaif3MPTRfNBGKrw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCCh4-WQvNOGct7gg2Bix-8g,UCCh4-WQvNOGct7gg2Bix-8g,TRUE,none,1,2023-07-05T22:55:01Z,2023-07-05T22:55:01Z
D6DVTLvOupE,あの緑色の球、放送事故のキャベツだよね。,あの緑色の球、放送事故のキャベツだよね。,クロノフォン,https://yt3.ggpht.com/ytc/AOPolaQmDWZt40EDThW_EQqVBJnExZyE8wy0jASd3Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCR78dPJjoBz2m4JGd1wxSng,UCR78dPJjoBz2m4JGd1wxSng,TRUE,none,2,2023-07-05T14:24:10Z,2023-07-05T14:24:10Z
D6DVTLvOupE,いつの間にかこの曲聴いてるのなぁぜなぁぜ？,いつの間にかこの曲聴いてるのなぁぜなぁぜ？,RYOGAME,https://yt3.ggpht.com/khTfCgbe77DB8yZsW3AQAy_5On2Irgpvttqo9q-PVEdTPiYfyMzOYG39SQZVD4piSA4TW__xdPo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UClQpZ-bb_btq1QBRLbnULBQ,UClQpZ-bb_btq1QBRLbnULBQ,TRUE,none,3,2023-07-05T12:34:25Z,2023-07-05T12:34:25Z
