text,label,score
1:10〜これは……「夜明け前より瑠璃色な」第3話に登場したキャベツですね,NEUTRAL,0.9452
カプヌ食べてぇ,NEUTRAL,0.7186
😆♥️♥️🇹🇭,POSITIVE,0.5456
風強すぎてイヤってだけでこんな名曲がw,POSITIVE,0.8031
リズムキープするカラス可愛すぎ,POSITIVE,0.9914
キャベツよな…ネタが,NEUTRAL,0.8796
下半期トレンド流行の可能性大,NEUTRAL,0.5987
夏暑すぎて終わったわカプヌうまいのに売れてない...シーフードだけでもたべてほしい夏夏食っとけシーフード,NEUTRAL,0.4971
なんです,NEUTRAL,0.8475
契約料いくらでしたか？！,NEUTRAL,0.8248
キャベツネタに反応するインターネット老人少なくて泣いた,NEGATIVE,0.4842
日清のCMで南斗水鳥拳使えるようになってたんですが,NEUTRAL,0.8448
包丁を使ったとはいえキャベツを一撃で真っ二つに割り、ＣＭでは垂直に立てたイカを手刀で両断できる怪物じみた戦闘能力の持ち主…,NEUTRAL,0.668
誰もキャベツに触れてないことに時の流れを感じた,NEGATIVE,0.5097
(⁠￣⁠▽￣⁠)⁠🍀カラスのカスタネットと白鳩(？)のトライアングルに乘せたリコーダー演奏🌈可愛ぃ,POSITIVE,0.9905
歌がテレビの広告にでてましたよ,NEUTRAL,0.8421
みんなどんどん聞きまくれ！,POSITIVE,0.9378
可愛いし曲に中毒性ある,NEGATIVE,0.5734
最初に見たショートがこれの1.25倍速のやつだったから本家を聴くと違和感が生じるようになってしまった皆も1.25倍速で聴いてみてほしい呪われるから,NEGATIVE,0.8679
おめでとう🍾,POSITIVE,0.9452
リコーダーの音の外れ方がすごく好き,POSITIVE,0.9643
絶妙に音程が外れるリコーダーと唐突なハト→ハト→ハト→ハト(?)大乱闘で草生えた,POSITIVE,0.5954
カップヌードルとコラボしましたね！！とても凄いことだと思うのですが、近所の子供達がCMの方の歌詞で歌っていて、どうしてもめちゃめちゃモヤモヤしてしまいます😂,NEGATIVE,0.6357
これって歌ってるの…？,NEUTRAL,0.939
強風で勤務先に着く頃には髪ボサボサでやばいなって思ったら坊主でした。,NEGATIVE,0.8479
はとのなかにべつの生物がいますけど？？？？？？？？？？？,NEUTRAL,0.7943
CM記念視聴🎉,POSITIVE,0.7688
強風オールバックを観にいって、まあまあ替え歌になってたんだね💕︎って思いました、あはは笑,NEUTRAL,0.6812
カップヌードルのCMにもなってるスゴすぎ！！！！,POSITIVE,0.9814
遂にカップヌードルともコラボしてしまったか...,NEUTRAL,0.8892
オールバックになる髪があるだけ良いやんとおじさんは思いました。,POSITIVE,0.638
なんか、ちょくちょく出てくるキャラクターがからめるさんのキャラクターに似ているような,NEUTRAL,0.8712
この旋律が頭から離れない。布団に入ってもループしている・・でも、あながち不快感は無い不思議・・,NEUTRAL,0.49
シーフードヌードルのcmで採用されてて笑強風女児「皆さん買ってください」,NEUTRAL,0.8026
cmおめ！！！,POSITIVE,0.9855
敵敵敵は竹之内,NEUTRAL,0.9189
CMデビューを果たした史上初リコーダー小学生,POSITIVE,0.5952
