text,label,score
癒された❤サイコーに面白いコメ欄,POSITIVE,0.9853
久しぶりにきたら再生数えぐいことなってて草,POSITIVE,0.8679
風強かっただけで作れるの凄い,POSITIVE,0.9811
あ,NEUTRAL,0.5809
この子ちょくちょくかわいいの草,POSITIVE,0.9836
なんか流行る曲って最初は興味ないけど後からハマるんだよな(´･ω･`),POSITIVE,0.5964
天気はいいのに進めな↑い↓だと思ってたら歌い手さんたちみんな天気はいいのに進めな→い↓って歌ってて主旋律そっち！？！？！？ってなった,NEUTRAL,0.6728
可愛い❤けど爆笑😂,POSITIVE,0.9682
素人風に見えて音圧がプロ,NEUTRAL,0.638
情報過多な現代社会では、こういうくだらない歌詞の曲がちょうどええ。,POSITIVE,0.4952
天才,POSITIVE,0.8312
これほど聞いている人をワクワクさせることができるとは･･･もはや神曲では片付けれない,POSITIVE,0.6515
ランドセル背負った女児がネット民に上手く刺さったんかね中身よりサムネが大事なのを証明してる,POSITIVE,0.906
オールバックもリコーダーも鳩もキャベツも全部すごい発想してるな…,POSITIVE,0.7779
オールバックの所オッズパークって言いたくなるのは私だけ？,NEUTRAL,0.9338
1:22かわいい,POSITIVE,0.963
なんかテンポ遅い...遅くない？(🌴のせい),NEGATIVE,0.9643
この曲はすごく大好きです、最高です、初めに聞いたら笑ってしまったけど大好きな歌です,POSITIVE,0.9947
cmで流れたのでコメしにきました,POSITIVE,0.8485
強風オールバック神曲過ぎ,POSITIVE,0.9671
台風6番の風マジやばすぎてまたここに戻って来ました,NEGATIVE,0.9093
これカップヌードルが作った曲かと思ってたw,NEUTRAL,0.8153
カスタネットとトライアングル担当の鳥頑張っててえらい。ハト大乱闘してる場合じゃなくて好き。,POSITIVE,0.9917
1:26右下かわい,NEUTRAL,0.5938
動物がみんなかわいい。ゆるい肩の力がなくなる,POSITIVE,0.8393
すごいです。寝起きヤシの木もそうだけどちゃんとこの主だけの特徴がはっきりしていて、主だけの曲というのがわかりやすくて見てて飽きないです。チャンネル登録します！！,POSITIVE,0.9908
ホント尊敬できるわ。色々なところで主の特徴があってリコーダーの音外しやキャベツの切るときの断面とかも元ネタがあるというボカロの概念を覆すような素晴らしい作り込みがあります。この人？「すごすぎて人間に見えない」は将来的にも期待が高まります。頑張って！！,POSITIVE,0.9844
急に生えてきて合いの手入れるのすこ,POSITIVE,0.9551
何度も見ちゃう。メロディーが頭から離れない😆いったい何なのこれ？？🤣,NEGATIVE,0.6104
謎の中毒性,NEGATIVE,0.8729
好き,POSITIVE,0.9401
これ聞いたら高校の入学式思い出す程度で聞いてる,NEUTRAL,0.8739
なんで途中でキャベツ切ってんの？,NEUTRAL,0.5655
絵が可愛すぎる😍︎💕︎,POSITIVE,0.9901
なんか風を浴びながらリコーダーが吹きたくなる曲だなぁそれやったらこれどうなるん,NEUTRAL,0.7079
暑すぎて終わってる,NEGATIVE,0.9015
CMから来ました,NEUTRAL,0.9283
2023年にも見てる同士おらん？,NEUTRAL,0.9468
曲も歌詞も歌も絵も全てが天才的。,POSITIVE,0.8923
一瞬の出来事で気づかなかったよ一番最初にフブちゃんがすっ飛んでった😂,NEGATIVE,0.7408
ヤシの木とこの曲を交互に聞くのに最近凄くハマってる,POSITIVE,0.9696
糞した瞬間痔になった,NEGATIVE,0.8523
天気はいいのにウルトラソウル！でしょ！？,NEUTRAL,0.9438
1:24〜1:25の(><)みたいな顔になってるユキちゃんめっちゃ可愛い,POSITIVE,0.9911
配信頼む🥲,NEUTRAL,0.5915
機械音声というより電子ピアノの音を重ねて声みたいにしてるように感じたの私だけ？,NEUTRAL,0.8963
ボカロ史上2本目の1億越えあるかも！！,POSITIVE,0.8854
😅,NEUTRAL,0.8316
😅,NEUTRAL,0.8316
マジですごい,POSITIVE,0.9118
CMに使われてて草,NEUTRAL,0.9168
カップヌードルのCMで使われてた！！,POSITIVE,0.6802
学校でうんこ漏らして終わったわ学校でうんこ漏らしてお亡くなり,NEGATIVE,0.9891
今日、何となくチャリでコンサートの服買いに行ったら、台風の影響で向かい風強すぎて……髪の毛オールバックして、前に全然進めなくて……「これ、強風オールバックやないかい！」ってナチュラルにツッコんでしまった。。(>д<)彡彡横の工事のお兄ちゃん達に見られた……恥ずい,NEGATIVE,0.9645
カラオケで毎回お世話になってます。,POSITIVE,0.6862
だれか、おなくなりの意味を教えてくださいｗ,NEUTRAL,0.8545
シーフード買ったげた。,POSITIVE,0.8991
今日の俺は台風オールバック,NEUTRAL,0.6425
何だ赤城おろしか。,NEUTRAL,0.933
CMで流れるの楽しみに待ってたけど我慢の限界探して何度も見て聞いてしまいましたクセになりますー,NEGATIVE,0.5033
0:56のあーが狂うほど好き,POSITIVE,0.9566
『風強すぎてお亡くなり』ってなに言ってるのかさっぱりわからん。死んだの？,NEGATIVE,0.9802
意外と飽きない粘り強い曲,POSITIVE,0.8605
キモイ曲なんだけどクセになるよねオトナブルーもだけど,NEUTRAL,0.7067
こんなに一回だけ聞いたけで頭から離れない曲はじめてだ,POSITIVE,0.5181
来るだろうなーって時に来るの好き,POSITIVE,0.9846
リコーダーの音の外し方中毒性がすごい,NEGATIVE,0.9491
