label,text,score
1,癒された❤サイコーに面白いコメ欄,0.9853
1,久しぶりにきたら再生数えぐいことなってて草,0.8679
1,風強かっただけで作れるの凄い,0.9811
1,この子ちょくちょくかわいいの草,0.9836
0,なんか流行る曲って最初は興味ないけど後からハマるんだよな(´･ω･`),0.5964
1,可愛い❤けど爆笑😂,0.9682
1,情報過多な現代社会では、こういうくだらない歌詞の曲がちょうどええ。,0.4952
1,天才,0.8312
1,これほど聞いている人をワクワクさせることができるとは･･･もはや神曲では片付けれない,0.6515
1,ランドセル背負った女児がネット民に上手く刺さったんかね中身よりサムネが大事なのを証明してる,0.906
1,オールバックもリコーダーも鳩もキャベツも全部すごい発想してるな…,0.7779
1,1:22かわいい,0.963
-1,なんかテンポ遅い...遅くない？(🌴のせい),0.9643
1,この曲はすごく大好きです、最高です、初めに聞いたら笑ってしまったけど大好きな歌です,0.9947
1,cmで流れたのでコメしにきました,0.8485
1,強風オールバック神曲過ぎ,0.9671
0,台風6番の風マジやばすぎてまたここに戻って来ました,0.9093
1,カスタネットとトライアングル担当の鳥頑張っててえらい。ハト大乱闘してる場合じゃなくて好き。,0.9917
1,動物がみんなかわいい。ゆるい肩の力がなくなる,0.8393
1,すごいです。寝起きヤシの木もそうだけどちゃんとこの主だけの特徴がはっきりしていて、主だけの曲というのがわかりやすくて見てて飽きないです。チャンネル登録します！！,0.9908
1,ホント尊敬できるわ。色々なところで主の特徴があってリコーダーの音外しやキャベツの切るときの断面とかも元ネタがあるというボカロの概念を覆すような素晴らしい作り込みがあります。この人？「すごすぎて人間に見えない」は将来的にも期待が高まります。頑張って！！,0.9844
1,急に生えてきて合いの手入れるのすこ,0.9551
-1,何度も見ちゃう。メロディーが頭から離れない😆いったい何なのこれ？？🤣,0.6104
1,謎の中毒性,0.8729
1,好き,0.9401
1,絵が可愛すぎる😍︎💕︎,0.9901
0,暑すぎて終わってる,0.9015
1,曲も歌詞も歌も絵も全てが天才的。,0.8923
-1,一瞬の出来事で気づかなかったよ一番最初にフブちゃんがすっ飛んでった😂,0.7408
1,ヤシの木とこの曲を交互に聞くのに最近凄くハマってる,0.9696
0,糞した瞬間痔になった,0.8523
1,1:24〜1:25の(><)みたいな顔になってるユキちゃんめっちゃ可愛い,0.9911
1,ボカロ史上2本目の1億越えあるかも！！,0.8854
1,マジですごい,0.9118
1,カップヌードルのCMで使われてた！！,0.6802
0,学校でうんこ漏らして終わったわ学校でうんこ漏らしてお亡くなり,0.9891
0,今日、何となくチャリでコンサートの服買いに行ったら、台風の影響で向かい風強すぎて……髪の毛オールバックして、前に全然進めなくて……「これ、強風オールバックやないかい！」ってナチュラルにツッコんでしまった。。(>д<)彡彡横の工事のお兄ちゃん達に見られた……恥ずい,0.9645
1,カラオケで毎回お世話になってます。,0.6862
1,シーフード買ったげた。,0.8991
0,CMで流れるの楽しみに待ってたけど我慢の限界探して何度も見て聞いてしまいましたクセになりますー,0.5033
1,0:56のあーが狂うほど好き,0.9566
-1,『風強すぎてお亡くなり』ってなに言ってるのかさっぱりわからん。死んだの？,0.9802
1,意外と飽きない粘り強い曲,0.8605
1,こんなに一回だけ聞いたけで頭から離れない曲はじめてだ,0.5181
1,来るだろうなーって時に来るの好き,0.9846
1,リコーダーの音の外し方中毒性がすごい,0.9491
1,タイフが近付いてきて風が強くなってきた今日にピッタリの曲ですね😊,0.7684
